Parameter,q025,q250,median,q750,q975
log_rbar_devs_2017,-0.01931436252277154,0.35996027653389673,0.5520178121454684,0.7461919139537745,1.113189951188279
log_rbar_devs_2018,-0.7606594909208296,-0.1172033837126385,0.21670841090202586,0.5594969132301801,1.1775404018371207
mat_a50_1,4.565918275599931,4.850954277480042,5.006799897268505,5.168755581740987,5.505782076112097
mat_a95_1,6.89915515267477,7.370551199416394,7.618382708107459,7.873872289087194,8.381038206213546
mat_a50_2,4.047408606062138,4.472589174478767,4.728877120303087,5.016021253545458,5.684899665659619
mat_a95_2,5.818495540668481,6.67874111573218,7.217479409329647,7.8358318199638735,9.287560218107416
log_Mdevs_1,0.10273337342699658,0.1439200477285345,0.16534369647541158,0.18791737254443142,0.2324343799663615
log_Mdevs_2,-0.3106991717883286,-0.2660940078962577,-0.24180645332763984,-0.21845720723027684,-0.17132775936200045
log_Mdevs_3,-0.03852802706026277,0.03845817157663989,0.07692427192611628,0.11427946588206073,0.18247937501087422
log_s50_1,1.5283460544988032,1.5731977242207362,1.5973520659392406,1.6218875776716324,1.6697410294957145
