variable,fmort,mean,median,q025,q975,q250,q750
ypr,0.34,12.786164186873313,12.75129799310703,9.050207470317359,16.719609873253866,11.419310848094378,14.088302942488658
ypr,0.35000000000000003,13.043381343531165,13.00968164558877,9.244939060694712,17.035665974279308,11.65439639984926,14.368044247170607
ypr,0.36,13.296232300827072,13.263152815669713,9.43679675946489,17.346947214671953,11.88651180777618,14.640130279363946
ypr,0.37,13.544844913028049,13.511810684445773,9.625946034049836,17.65199494910747,12.115084683766945,14.90945505724909
ypr,0.38,13.789341989277613,13.756403675049349,9.812456878831926,17.948774408054547,12.340773880584262,15.173493025216459
ypr,0.39,14.029841538595626,13.9984489250558,9.996418404523007,18.241688670442233,12.562303619836506,15.434134033842003
ypr,0.4,14.266457000845914,14.235492498930459,10.178150782685087,18.529564339021753,12.779383694548574,15.688535948063304
ypr,0.41000000000000003,14.499297464596305,14.46831347559317,10.35838232614947,18.812414792367512,12.995304073778849,15.939697224663917
ypr,0.42,14.72846787272683,14.697737056525408,10.535425579256598,19.089605972372567,13.20627714822464,16.185970346744746
ypr,0.43,14.95406921657872,14.923237462991224,10.70999593324616,19.362094872404015,13.414375538296499,16.427695456717018
ypr,0.44,15.176198719378824,15.145196144465846,10.88408172548633,19.629807084911416,13.619952730654099,16.666365725620828
ypr,0.45,15.394950009620878,15.364083848756035,11.05635546161457,19.893679268021152,13.822367492836099,16.902582762522655
ypr,0.46,15.610413285036095,15.580884545134406,11.225354215058914,20.152438867458635,14.021862901790996,17.134472649212398
ypr,0.47000000000000003,15.822675467740543,15.793213868483358,11.392262220641046,20.406776537729343,14.219119467188614,17.361716646905663
ypr,0.48,16.03182035110532,16.003522703633436,11.55712789204674,20.656809737146826,14.413198885917785,17.58524409032779
ypr,0.49,16.23792873885737,16.211581794324808,11.720014932483714,20.902712100741535,14.604570151576688,17.80518866685841
ypr,0.5,16.44107857688354,16.415557143505715,11.880982745209371,21.14436010752973,14.7939968472569,18.021749301478323
ypr,0.51,16.64134507817803,16.615697419262755,12.038950643304151,21.38116589101233,14.980804516419639,18.236295102538776
ypr,0.52,16.838800841343343,16.81496498578942,12.194269863855391,21.61526215754745,15.164591031081613,18.447558729965415
ypr,0.53,17.033515963027195,17.009040256343425,12.347746100352715,21.843488040330392,15.345734468669248,18.655981598879485
ypr,0.54,17.22555814465212,17.202549335811508,12.501755253649492,22.067358810143716,15.524576162822655,18.86075966094613
ypr,0.55,17.414992793770853,17.392650445074736,12.654282507867991,22.28913801383994,15.701295699968899,19.06288330852076
