Year,Age,gear_select,maturity,survival,catchage_comp_est,catchage_comp_obs,spawnage_comp_est,spawnage_comp_obs
2009,3,0.153383,0.273176,0.756229,0.0817657,0.116981,0.12362,0.0817
2010,3,0.153383,0.273176,0.756229,0.070283,0.15146,0.111925,0.0856102
2011,3,0.153383,0.273176,0.756229,0.024677,0.0951456,0.0414945,0.0658
2012,3,0.153383,0.273176,0.756229,0.0173847,0.0858779,0.0308845,0.1173
2013,3,0.153383,0.273176,0.756229,0.0940764,0.118881,0.154747,0.20283
2014,3,0.153383,0.273176,0.756229,0.01683,0.0056391,0.0290141,0.0121212
2015,3,0.153383,0.357346,0.672008,0.351551,0.17105,0.559262,0.483333
2016,3,0.153383,0.357346,0.672008,0.0140606,0.0171429,0.021911,0.0226415
2017,3,0.153383,0.357346,0.672008,0.106738,0.223485,0.223169,0.29685
2018,3,0.153383,0.357346,0.672008,0.152543,0.218147,0.251489,0.21452
1980,4,0.545432,0.795778,0.572775,0.713493,0.696965,0.74026,0.714579
1981,4,0.545432,0.795778,0.572775,0.182165,0.08,0.229367,0.25
1982,4,0.545432,0.795778,0.572775,0.0931375,0.0322581,0.126708,0.0157089
1983,4,0.545432,0.795778,0.572775,0.0939408,0.06,0.102774,0.1012
1984,4,0.545432,0.795778,0.572775,0.602229,0.663366,0.639761,0.69
1985,4,0.545432,0.795778,0.572775,0.269727,0.16,0.336453,0.427083
1986,4,0.545432,0.795778,0.572775,0.109335,0.04,0.134777,0.06
1987,4,0.545432,0.795778,0.572775,0.204589,0.171717,0.196037,0.17
1988,4,0.545432,0.795778,0.572775,0.738334,0.85,0.78399,0.85
1989,4,0.545432,0.795778,0.572775,0.106429,0.244898,0.148665,0.19
1990,4,0.545432,0.795778,0.572775,0.0188529,0.00990099,0.0275641,0.01
1991,4,0.545432,0.795778,0.572775,0.0151469,0.029703,0.0150363,0.05
1992,4,0.545432,0.795778,0.572775,0.832377,0.86,0.878029,0.89
1993,4,0.545432,0.795778,0.572775,0.0229197,0.0413437,0.0334078,0.02
1994,4,0.545432,0.795778,0.572775,5.12658E-05,0.0176125,0.000073291,0.0631579
1995,4,0.545432,0.795778,0.572775,0.170776,0.05625,0.174993,0.0773196
1996,4,0.545432,0.795778,0.572775,0.614491,0.396095,0.641742,0.390486
1997,4,0.545432,0.795778,0.572775,0.257835,0.207265,0.288011,0.182728
1998,4,0.545432,0.795778,0.572775,0.407655,0.489749,0.448651,0.482456
1999,4,0.545432,0.795778,0.756229,0.362155,0.396181,0.4407,0.443373
2000,4,0.545432,0.795778,0.756229,0.0966306,0.0709877,0.124257,0.080292
2001,4,0.545432,0.795778,0.756229,0.211583,0.247166,0.268218,0.1708
2002,4,0.545432,0.795778,0.756229,0.276721,0.312734,0.344936,0.3491
2003,4,0.545432,0.795778,0.756229,0.14744,0.125843,0.170059,0.1216
2004,4,0.545432,0.795778,0.756229,0.491602,0.580972,0.577317,0.5612
2005,4,0.545432,0.795778,0.756229,0.0674299,0.0545455,0.0902924,0.0378
2006,4,0.545432,0.795778,0.756229,0.133208,0.161034,0.176315,0.1468
2007,4,0.545432,0.795778,0.756229,0.190767,0.182731,0.240433,0.2226
2008,4,0.545432,0.795778,0.756229,0.25192,0.167619,0.304268,0.2457
2009,4,0.545432,0.795778,0.756229,0.297592,0.264151,0.361303,0.2509
2010,4,0.545432,0.795778,0.756229,0.204897,0.202555,0.260863,0.205829
2011,4,0.545432,0.795778,0.756229,0.200891,0.250485,0.268993,0.2567
2012,4,0.545432,0.795778,0.756229,0.0813387,0.0839695,0.115393,0.2119
2013,4,0.545432,0.795778,0.756229,0.0572703,0.0606061,0.0763384,0.0849057
2014,4,0.545432,0.795778,0.756229,0.26746,0.31391,0.363063,0.387879
2015,4,0.545432,0.988026,0.672008,0.0385781,0.01692,0.0465802,0.011111
2016,4,0.545432,0.988026,0.672008,0.665589,0.746667,0.785314,0.809434
2017,4,0.545432,0.988026,0.672008,0.0338379,0.0625,0.052953,0.06122
2018,4,0.545432,0.988026,0.672008,0.276872,0.279923,0.351839,0.30033
1980,5,0.888476,0.975845,0.572775,0.172749,0.12752,0.13043,0.110875
1981,5,0.888476,0.975845,0.572775,0.665123,0.72,0.617386,0.62
1982,5,0.888476,0.975845,0.572775,0.226869,0.139785,0.224045,0.212325
1983,5,0.888476,0.975845,0.572775,0.0811818,0.02,0.0638691,0.0171821
1984,5,0.888476,0.975845,0.572775,0.0638031,0.0693069,0.0488922,0.07
1985,5,0.888476,0.975845,0.572775,0.544275,0.63,0.482158,0.479167
1986,5,0.888476,0.975845,0.572775,0.281353,0.31,0.247959,0.22
1987,5,0.888476,0.975845,0.572775,0.0540154,0.040404,0.0378117,0.04
1988,5,0.888476,0.975845,0.572775,0.123498,0.06,0.0935887,0.06
1989,5,0.888476,0.975845,0.572775,0.755897,0.673469,0.728703,0.75
1990,5,0.888476,0.975845,0.572775,0.164939,0.148515,0.17493,0.15
1991,5,0.888476,0.975845,0.572775,0.0126409,0.00990099,0.00927176,0.01
1992,5,0.888476,0.975845,0.572775,0.00951927,0.03,0.00729439,0.04
1993,5,0.888476,0.975845,0.572775,0.880577,0.891473,0.881806,0.87
1994,5,0.888476,0.975845,0.572775,0.0349861,0.0919765,0.0353678,0.0947368
1995,5,0.888476,0.975845,0.572775,3.91613E-05,0.03125,2.92616E-05,0.0257732
1996,5,0.888476,0.975845,0.572775,0.102546,0.0488145,0.0742651,0.0302725
1997,5,0.888476,0.975845,0.572775,0.428787,0.316239,0.33352,0.215116
1998,5,0.888476,0.975845,0.572775,0.192841,0.177677,0.152664,0.0859649
1999,5,0.888476,0.975845,0.756229,0.371141,0.405728,0.323204,0.373494
2000,5,0.888476,0.975845,0.756229,0.409644,0.359568,0.388144,0.381995
2001,5,0.888476,0.975845,0.756229,0.108214,0.0680272,0.0975359,0.0585
2002,5,0.888476,0.975845,0.756229,0.232292,0.187266,0.208496,0.1684
2003,5,0.888476,0.975845,0.756229,0.257667,0.242697,0.217969,0.2345
2004,5,0.888476,0.975845,0.756229,0.135167,0.139676,0.115654,0.1403
2005,5,0.888476,0.975845,0.756229,0.559149,0.529293,0.545326,0.496
2006,5,0.888476,0.975845,0.756229,0.0867783,0.107356,0.0837994,0.0865
2007,5,0.888476,0.975845,0.756229,0.155375,0.134538,0.14214,0.153
2008,5,0.888476,0.975845,0.756229,0.196058,0.15619,0.170974,0.1325
2009,5,0.888476,0.975845,0.756229,0.253003,0.230189,0.222786,0.2528
2010,5,0.888476,0.975845,0.756229,0.321585,0.282847,0.294404,0.327869
2011,5,0.888476,0.975845,0.756229,0.249342,0.240777,0.238221,0.2263
2012,5,0.888476,0.975845,0.756229,0.278776,0.217557,0.283759,0.2294
2013,5,0.888476,0.975845,0.756229,0.113714,0.0815851,0.111846,0.0786164
2014,5,0.888476,0.975845,0.756229,0.0721256,0.0657895,0.0683013,0.0969697
2015,5,0.888476,0.999918,0.672008,0.25027,0.23684,0.175175,0.201852
2016,5,0.888476,0.999918,0.672008,0.0310405,0.0361905,0.0210758,0.0339623
2017,5,0.888476,0.999918,0.672008,0.675764,0.628788,0.587128,0.57514
2018,5,0.888476,0.999918,0.672008,0.035782,0.0444015,0.027574,0.0462
1980,6,0.981747,0.997618,0.572775,0.0290592,0.0124888,0.0200701,0.0134343
1981,6,0.981747,0.997618,0.572775,0.103804,0.18,0.0885283,0.11
1982,6,0.981747,0.997618,0.572775,0.544381,0.473118,0.491356,0.59616
1983,6,0.981747,0.997618,0.572775,0.126993,0.08,0.0910195,0.0405835
1984,6,0.981747,0.997618,0.572775,0.0349203,0.0693069,0.0244042,0.05
1985,6,0.981747,0.997618,0.572775,0.0366866,0.1,0.0294779,0.03125
1986,6,0.981747,0.997618,0.572775,0.353014,0.53,0.282852,0.34
1987,6,0.981747,0.997618,0.572775,0.0872795,0.10101,0.055963,0.1
1988,6,0.981747,0.997618,0.572775,0.0211394,0.03,0.0145555,0.03
1989,6,0.981747,0.997618,0.572775,0.0791855,0.0306122,0.0685282,0.02
1990,6,0.981747,0.997618,0.572775,0.698789,0.752475,0.677198,0.7
1991,6,0.981747,0.997618,0.572775,0.0709476,0.029703,0.0478481,0.04
1992,6,0.981747,0.997618,0.572775,0.00523864,0.01,0.00366982,0
1993,6,0.981747,0.997618,0.572775,0.00647426,0.0180879,0.00581036,0.03
1994,6,0.981747,0.997618,0.572775,0.796609,0.78865,0.729305,0.652632
1995,6,0.981747,0.997618,0.572775,0.0165128,0.0458333,0.0112945,0.056701
1996,6,0.981747,0.997618,0.572775,1.52036E-05,0.0125523,9.90167E-06,0.031568
1997,6,0.981747,0.997618,0.572775,0.0429794,0.0363248,0.0301086,0.0289277
1998,6,0.981747,0.997618,0.572775,0.193776,0.0979499,0.139766,0.0824561
1999,6,0.981747,0.997618,0.756229,0.111238,0.0763723,0.0881,0.086747
2000,6,0.981747,0.997618,0.756229,0.263978,0.233025,0.229772,0.253041
2001,6,0.981747,0.997618,0.756229,0.301269,0.204082,0.246394,0.2594
2002,6,0.981747,0.997618,0.756229,0.0739979,0.0805243,0.0605342,0.0631
2003,6,0.981747,0.997618,0.756229,0.13725,0.177528,0.106489,0.104
2004,6,0.981747,0.997618,0.756229,0.154046,0.137652,0.120621,0.1291
2005,6,0.981747,0.997618,0.756229,0.0992771,0.139394,0.0885944,0.1414
2006,6,0.981747,0.997618,0.756229,0.46442,0.429423,0.410604,0.4205
2007,6,0.981747,0.997618,0.756229,0.0654929,0.0582329,0.054758,0.0755
2008,6,0.981747,0.997618,0.756229,0.102536,0.106667,0.0815742,0.1228
2009,6,0.981747,0.997618,0.756229,0.125448,0.122642,0.100933,0.1178
2010,6,0.981747,0.997618,0.756229,0.175357,0.162409,0.146246,0.196721
2011,6,0.981747,0.997618,0.756229,0.247822,0.223301,0.21511,0.2398
2012,6,0.981747,0.997618,0.756229,0.216629,0.198473,0.20072,0.1786
2013,6,0.981747,0.997618,0.756229,0.246005,0.258741,0.222381,0.198113
2014,6,0.981747,0.997618,0.756229,0.0942473,0.0827068,0.0804361,0.0808081
2015,6,0.981747,0.999999,0.672008,0.0408886,0.07707,0.0253882,0.046296
2016,6,0.981747,0.999999,0.672008,0.12729,0.129524,0.0764972,0.0735849
2017,6,0.981747,0.999999,0.672008,0.019773,0.0265152,0.015036,0.01484
2018,6,0.981747,0.999999,0.672008,0.432285,0.420849,0.299452,0.36304
1980,7,0.997566,0.99977,0.572775,1.65775E-08,0.00246416,1.12683E-08,0.0000001
1981,7,0.997566,0.99977,0.572775,0.0158286,0.02,0.0132966,0.01
1982,7,0.997566,0.99977,0.572775,0.0774438,0.16129,0.0687828,0.0464017
1983,7,0.997566,0.99977,0.572775,0.275929,0.41,0.194486,0.152917
1984,7,0.997566,0.99977,0.572775,0.0492619,0.039604,0.0338626,0.05
1985,7,0.997566,0.99977,0.572775,0.0181319,0.05,0.0143154,0.0104167
1986,7,0.997566,0.99977,0.572775,0.02134,0.05,0.0168085,0.04
1987,7,0.997566,0.99977,0.572775,0.0985036,0.141414,0.0621756,0.14
1988,7,0.997566,0.99977,0.572775,0.0310151,0.03,0.0209905,0.03
1989,7,0.997566,0.99977,0.572775,0.0121826,0.0204082,0.0103389,0.01
1990,7,0.997566,0.99977,0.572775,0.0648052,0.0594059,0.0617959,0.09
1991,7,0.997566,0.99977,0.572775,0.272094,0.19802,0.180775,0.15
1992,7,0.997566,0.99977,0.572775,0.0268266,0.01,0.0184932,0.02
1993,7,0.997566,0.99977,0.572775,0.00322725,0.00775194,0.00283934,0
1994,7,0.997566,0.99977,0.572775,0.00517411,0.0293542,0.00465311,0.0421053
1995,7,0.997566,0.99977,0.572775,0.336547,0.620833,0.226579,0.46134
1996,7,0.997566,0.99977,0.572775,0.00581636,0.0753138,0.00371596,0.123019
1997,7,0.997566,0.99977,0.572775,5.65357E-06,0.0384615,3.88631E-06,0.0173527
1998,7,0.997566,0.99977,0.572775,0.0172653,0.0250569,0.0122467,0.0157895
1999,7,0.997566,0.99977,0.756229,0.100813,0.052506,0.0784938,0.0481928
2000,7,0.997566,0.99977,0.756229,0.0711976,0.0509259,0.0610394,0.053528
2001,7,0.997566,0.99977,0.756229,0.176928,0.160998,0.142193,0.2167
2002,7,0.997566,0.99977,0.756229,0.184853,0.174157,0.148723,0.1964
2003,7,0.997566,0.99977,0.756229,0.039451,0.0516854,0.0301396,0.0758
2004,7,0.997566,0.99977,0.756229,0.0746309,0.0526316,0.0575171,0.0579
2005,7,0.997566,0.99977,0.756229,0.102616,0.10303,0.0901289,0.1374
2006,7,0.997566,0.99977,0.756229,0.0747738,0.0775348,0.0650735,0.0925
2007,7,0.997566,0.99977,0.756229,0.318077,0.36747,0.261688,0.2962
2008,7,0.997566,0.99977,0.756229,0.0391348,0.0704762,0.0306258,0.0626
2009,7,0.997566,0.99977,0.756229,0.0592701,0.0641509,0.0469224,0.0912
2010,7,0.997566,0.99977,0.756229,0.0787032,0.0711679,0.0645482,0.0728597
2011,7,0.997566,0.99977,0.756229,0.121862,0.145631,0.103967,0.13
2012,7,0.997566,0.99977,0.756229,0.193499,0.240458,0.176288,0.1348
2013,7,0.997566,0.99977,0.756229,0.172221,0.16317,0.153354,0.163522
2014,7,0.997566,0.99977,0.756229,0.185927,0.197368,0.155727,0.153535
2015,7,0.997566,1,0.672008,0.0475342,0.09398,0.0289465,0.053704
2016,7,0.997566,1,0.672008,0.0187436,0.0190476,0.0110433,0.0113208
2017,7,0.997566,1,0.672008,0.0729178,0.0378788,0.0542541,0.03525
2018,7,0.997566,1,0.672008,0.0112478,0.00965251,0.00765908,0.0165
1980,8+,1,0.999978,0.572775,1.08532E-08,0,7.35832E-09,0.0000001
1981,8+,1,0.999978,0.572775,1.46881E-08,0,1.23084E-08,0
1982,8+,1,0.999978,0.572775,0.0116327,0,0.0103049,0.0103652
1983,8+,1,0.999978,0.572775,0.0444085,0.04,0.0312164,0.0134364
1984,8+,1,0.999978,0.572775,0.122131,0.00990099,0.0837289,0.02
1985,8+,1,0.999978,0.572775,0.0873415,0.05,0.0687622,0.0104167
1986,8+,1,0.999978,0.572775,0.0601118,0.01,0.0472164,0.04
1987,8+,1,0.999978,0.572775,0.0222875,0.010101,0.0140323,0.01
1988,8+,1,0.999978,0.572775,0.0422328,0.01,0.028503,0.01
1989,8+,1,0.999978,0.572775,0.0414087,0,0.0350311,0.01
1990,8+,1,0.999978,0.572775,0.0428698,0.019802,0.0407726,0.03
1991,8+,1,0.999978,0.572775,0.0412043,0.00990099,0.0273094,0.01
1992,8+,1,0.999978,0.572775,0.116674,0.07,0.0802221,0.04
1993,8+,1,0.999978,0.572775,0.086788,0.0284238,0.0761112,0.06
1994,8+,1,0.999978,0.572775,0.0702396,0.0410959,0.062985,0.0421053
1995,8+,1,0.999978,0.572775,0.0311941,0.0291667,0.0209477,0.0309278
1996,8+,1,0.999978,0.572775,0.127464,0.0753138,0.0811816,0.161018
1997,8+,1,0.999978,0.572775,0.0484344,0.147436,0.0331925,0.139047
1998,8+,1,0.999978,0.572775,0.019021,0.0774487,0.0134557,0.0614035
1999,8+,1,0.999978,0.756229,0.0185337,0.0429594,0.0143908,0.00722892
2000,8+,1,0.999978,0.756229,0.0750452,0.0246914,0.0641809,0.0218978
2001,8+,1,0.999978,0.756229,0.0964181,0.0362812,0.0772704,0.0569
2002,8+,1,0.999978,0.756229,0.164587,0.101124,0.132063,0.1403
2003,8+,1,0.999978,0.756229,0.182944,0.247191,0.139416,0.1992
2004,8+,1,0.999978,0.756229,0.118811,0.0607287,0.091332,0.089
2005,8+,1,0.999978,0.756229,0.126607,0.107071,0.110916,0.1115
2006,8+,1,0.999978,0.756229,0.169654,0.0656064,0.147269,0.1026
2007,8+,1,0.999978,0.756229,0.164462,0.148594,0.134954,0.1491
2008,8+,1,0.999978,0.756229,0.283431,0.449524,0.221217,0.2506
2009,8+,1,0.999978,0.756229,0.182921,0.201887,0.144436,0.2053
2010,8+,1,0.999978,0.756229,0.149174,0.129562,0.122015,0.111111
2011,8+,1,0.999978,0.756229,0.155405,0.0446602,0.132216,0.081
2012,8+,1,0.999978,0.756229,0.212372,0.173664,0.192956,0.1278
2013,8+,1,0.999978,0.756229,0.316714,0.317016,0.281334,0.272013
2014,8+,1,0.999978,0.756229,0.36341,0.334586,0.303459,0.268687
2015,8+,1,1,0.672008,0.271178,0.40414,0.164648,0.203704
2016,8+,1,1,0.672008,0.143276,0.0514286,0.084159,0.0490566
2017,8+,1,1,0.672008,0.090969,0.0208333,0.0674598,0.0167
2018,8+,1,1,0.672008,0.0912707,0.027027,0.0619877,0.05941
