Year,Age,mean,median,q025,q975,q250,q750
2009,3,0.05373273316,0.052931149999999996,0.011147058782072361,0.1637511099854693,0.028837074799982057,0.0734910136141599
2010,3,0.05116892649,0.0504773,0.011154828234278739,0.15926823634725146,0.027262171764137807,0.07052809450433523
2011,3,0.02632831974,0.02601135,0.0055392102979962,0.08675461461425885,0.0141601493839833,0.037044693362162665
2012,3,0.02501672517,0.024649400000000002,0.0051566567427472065,0.0819554034285923,0.013161106526911989,0.03448398033201183
2013,3,0.06402452007,0.06328515,0.014037971190837994,0.1857775509873349,0.03442448271480359,0.08601582251548862
2014,3,0.017147180285,0.01680925,0.0036118563454247314,0.05748748266399026,0.0090739361837966,0.023626522015256387
2015,3,0.1990052793,0.197792,0.04910146506064276,0.47736366608324177,0.11610208583845245,0.25620855417828725
2016,3,0.02930733416,0.02855515,0.005577873770594137,0.11251504284811358,0.015796882785042467,0.043770548199825184
2017,3,0.13326192539,0.1310115,0.02774368846179461,0.3762368748136345,0.07377053733322757,0.1883433334303378
2018,3,0.16872292996,0.16371449999999999,0.034088788334978436,0.4651034660544989,0.09336776532398067,0.23337337105101702
1980,4,0.780979284,0.784286,0.40959845356456975,0.9403667141879266,0.6570746698005193,0.8520224439677178
1981,4,0.3058567449,0.304778,0.07328541914895612,0.6695996561860537,0.19109852141494554,0.42218847673163545
1982,4,0.11547436193,0.1139075,0.02437860939320414,0.3395512258206114,0.06503645650288174,0.16315913651243216
1983,4,0.2947463503,0.2934275,0.08117309471548764,0.603002105388116,0.17895024563145656,0.36888746893154806
1984,4,0.5866536217,0.587899,0.23086305065750462,0.8359548701390948,0.42954328820970683,0.6680608218291318
1985,4,0.3467602385,0.34567,0.09378222847040166,0.6800160407450966,0.22103039735511398,0.44504745005247726
1986,4,0.1888984892,0.187185,0.04504396317978135,0.46430686818033884,0.10846309744169733,0.24936039221661344
1987,4,0.3365875028,0.3356295,0.09228800585043599,0.6294755905856166,0.20936880219239656,0.40760886383097916
1988,4,0.6402244183,0.641567,0.2676958116315958,0.8662438746115336,0.4913100846771296,0.7182780863091776
